System,Atom,BE,N,Atoms
C2H6@CaO_OH2,Ca,425.75,9,Ca_029;Ca_028;Ca_035;Ca_036;Ca_031;Ca_033;Ca_032;Ca_034;Ca_030
C2H6@CaO_OH2,Ca,425.76,9,Ca_027;Ca_026;Ca_019;Ca_023;Ca_021;Ca_022;Ca_020;Ca_024;Ca_025
C2H6@CaO_OH2,Ca,425.85,18,Ca_053;Ca_006;Ca_050;Ca_049;Ca_051;Ca_002;Ca_046;Ca_003;Ca_004;Ca_009;Ca_048;Ca_047;Ca_005;Ca_007;Ca_008;Ca_052;Ca_054;Ca_001
C2H6@CaO_OH2,Ca,426.88,9,Ca_012;Ca_015;Ca_017;Ca_014;Ca_016;Ca_010;Ca_018;Ca_011;Ca_013
C2H6@CaO_OH2,Ca,426.89,9,Ca_043;Ca_037;Ca_041;Ca_038;Ca_042;Ca_045;Ca_039;Ca_044;Ca_040
C2H6@CaO_OH2,O,539.22,18,O_057;O_063;O_105;O_103;O_060;O_102;O_061;O_108;O_101;O_056;O_055;O_104;O_100;O_059;O_107;O_062;O_058;O_106
C2H6@CaO_OH2,O,539.27,18,O_076;O_074;O_087;O_086;O_083;O_081;O_082;O_084;O_078;O_073;O_089;O_088;O_079;O_080;O_075;O_085;O_077;O_090
C2H6@CaO_OH2,O,541.18,9,O_098;O_097;O_093;O_092;O_094;O_099;O_091;O_096;O_095
C2H6@CaO_OH2,O,541.19,9,O_072;O_068;O_067;O_066;O_070;O_065;O_071;O_064;O_069
C2H6@CaO_OH2,O,541.40,1,O_123
C2H6@CaO_OH2,O,541.41,8,O_122;O_121;O_124;O_120;O_126;O_119;O_118;O_125
C2H6@CaO_OH2,O,541.42,9,O_115;O_112;O_111;O_110;O_113;O_114;O_117;O_109;O_116
C2H6@CaO_OH2,C,294.17,4,C_171;C_172;C_164;C_163
C3H6@Ca,C,292.34,2,C_066;C_057
C3H6@Ca,C,292.61,2,C_068;C_059
C3H6@Ca,C,294.28,2,C_056;C_065
C3H6@Ca,Ca,426.43,2,Ca_050;Ca_051
C3H6@Ca,Ca,426.44,16,Ca_053;Ca_006;Ca_049;Ca_002;Ca_046;Ca_003;Ca_004;Ca_009;Ca_048;Ca_047;Ca_005;Ca_007;Ca_008;Ca_052;Ca_054;Ca_001
C3H6@Ca,Ca,426.51,18,Ca_029;Ca_027;Ca_026;Ca_019;Ca_028;Ca_035;Ca_023;Ca_021;Ca_036;Ca_031;Ca_022;Ca_033;Ca_032;Ca_034;Ca_020;Ca_024;Ca_025;Ca_030
C3H6@Ca,Ca,426.93,18,Ca_043;Ca_037;Ca_012;Ca_041;Ca_015;Ca_017;Ca_014;Ca_016;Ca_010;Ca_038;Ca_018;Ca_042;Ca_011;Ca_013;Ca_045;Ca_039;Ca_044;Ca_040
C3H6@CaH2,Ca,426.19,3,Ca_017;Ca_021;Ca_030
