System,Atom,Value,N_Atoms,Atom_indices
molecule_010,B,199.00,1,B_005
molecule_010,B,199.01,1,B_015
molecule_010,B,199.11,1,B_017
molecule_010,B,199.50,2,B_002;B_014
molecule_010,C,296.66,2,C_001;C_016
molecule_011,C,295.34,1,C_001
molecule_012,C,295.39,2,C_001;C_003
molecule_012,C,295.63,1,C_002
molecule_013,C,295.30,3,C_003;C_004;C_005
molecule_013,C,295.31,1,C_002
molecule_013,C,296.12,1,C_001
molecule_014,C,293.50,1,C_001
molecule_014,C,293.89,1,C_002
molecule_014,C,295.54,1,C_003
molecule_015,C,293.44,1,C_001
molecule_015,C,294.11,1,C_002
molecule_015,C,295.50,2,C_003;C_004
molecule_016,C,293.84,1,C_002
molecule_016,C,294.08,1,C_003
molecule_016,C,296.38,1,C_001
molecule_017,C,294.00,2,C_001;C_004
molecule_017,C,294.01,1,C_006
molecule_017,C,294.05,1,C_005
molecule_017,C,294.06,1,C_007
molecule_017,C,294.27,1,C_002
molecule_017,C,295.54,1,C_003
molecule_018,N,411.39,1,N_001
molecule_019,C,296.26,1,C_001
molecule_019,N,411.38,1,N_002
molecule_020,C,293.93,1,C_006
molecule_020,C,293.95,2,C_001;C_004
molecule_020,C,293.98,2,C_005;C_007
molecule_020,C,295.15,1,C_002
molecule_020,N,411.81,1,N_003
molecule_021,C,293.84,1,C_007
molecule_021,C,293.87,2,C_001;C_005
molecule_021,C,293.90,1,C_008
molecule_021,C,293.92,1,C_006
molecule_021,C,295.08,1,C_002
molecule_021,C,296.61,1,C_004
molecule_021,N,411.91,1,N_003
molecule_022,C,293.70,1,C_008
molecule_022,C,293.76,2,C_001;C_006
molecule_022,C,293.84,2,C_007;C_009
molecule_022,C,295.04,1,C_002
molecule_022,C,296.57,2,C_004;C_005
molecule_022,N,412.29,1,N_003
molecule_023,C,294.99,1,C_007
molecule_023,C,295.06,2,C_001;C_005
molecule_023,C,295.15,2,C_006;C_008
molecule_023,C,295.83,1,C_002
molecule_023,C,295.98,1,C_003
molecule_023,N,410.49,1,N_004
molecule_024,C,294.48,2,C_004;C_006
molecule_024,C,294.65,1,C_005
molecule_024,C,295.00,2,C_001;C_003
molecule_024,N,410.15,1,N_002
molecule_025,C,294.84,2,C_004;C_005
molecule_025,C,295.25,2,C_001;C_003
molecule_025,N,412.61,1,N_002
molecule_026,C,295.37,1,C_001
molecule_026,N,410.50,1,N_002
molecule_027,C,294.99,1,C_002
molecule_027,C,297.10,1,C_001
molecule_027,N,409.48,1,N_003
molecule_028,C,296.18,2,C_002;C_003
molecule_028,N,411.57,1,N_001
molecule_029,C,295.47,1,C_001
molecule_029,C,296.37,1,C_002
molecule_029,N,411.31,1,N_003
molecule_030,C,296.17,3,C_002;C_003;C_004
molecule_030,N,412.08,1,N_001
molecule_031,C,295.44,2,C_003;C_005
molecule_031,C,296.30,2,C_002;C_004
molecule_031,N,411.44,1,N_001
molecule_032,C,293.81,1,C_001
molecule_032,C,293.86,2,C_006;C_007
molecule_032,C,293.90,1,C_010
molecule_032,C,294.89,1,C_002
molecule_032,C,295.12,1,C_008
molecule_032,C,296.22,1,C_004
molecule_032,C,296.25,1,C_005
molecule_032,N,411.64,1,N_009
molecule_032,N,411.89,1,N_003
molecule_033,C,294.66,2,C_006;C_009
molecule_033,C,294.71,2,C_001;C_005
molecule_033,C,295.34,1,C_002
molecule_033,C,295.55,1,C_003
molecule_033,C,296.02,1,C_007
molecule_033,N,410.02,1,N_004
molecule_033,N,412.39,1,N_008
molecule_034,C,295.37,1,C_003
molecule_034,C,295.41,1,C_002
molecule_034,C,296.58,1,C_001
molecule_034,N,411.25,1,N_004
molecule_035,C,295.33,1,C_003
molecule_035,C,295.36,1,C_004
molecule_035,C,295.37,1,C_002
molecule_035,C,296.82,1,C_001
molecule_035,N,411.21,1,N_005
molecule_036,O,546.10,1,O_001
molecule_037,C,295.37,1,C_003
molecule_037,C,296.16,1,C_001
molecule_037,O,543.93,1,O_002
molecule_038,C,296.98,1,C_001
molecule_038,O,545.94,1,O_002
molecule_039,C,295.50,2,C_002;C_003
molecule_039,C,297.29,1,C_001
molecule_039,O,545.76,1,O_004
molecule_040,C,295.43,1,C_003
molecule_040,C,295.44,1,C_002
molecule_040,C,295.46,1,C_004
molecule_040,C,297.45,1,C_001
molecule_040,O,545.68,1,O_005
molecule_041,C,296.94,2,C_001;C_003
molecule_041,O,546.65,1,O_002
molecule_042,C,295.52,2,C_001;C_005
molecule_042,C,296.95,2,C_002;C_004
molecule_042,O,546.30,1,O_003
molecule_043,C,296.21,1,C_001
molecule_043,C,297.36,1,C_002
molecule_043,O,543.76,1,O_003
molecule_043,O,546.78,1,O_004
molecule_044,C,297.43,1,C_001
molecule_044,O,544.18,1,O_002
molecule_044,O,546.82,1,O_003
molecule_045,C,296.36,1,C_001
molecule_045,O,544.45,1,O_002
molecule_046,C,295.34,2,C_001;C_004
molecule_046,C,296.11,1,C_002
molecule_046,O,543.61,1,O_003
molecule_047,C,294.01,1,C_001
molecule_047,C,295.54,1,C_002
molecule_047,C,295.87,1,C_003
molecule_047,O,546.53,1,O_004
molecule_048,C,296.95,1,C_001
molecule_048,O,547.01,1,O_002
molecule_049,C,298.42,1,C_002
molecule_049,O,547.36,2,O_001;O_003
molecule_050,O,547.37,2,O_001;O_002
molecule_051,O,545.60,2,O_001;O_002
molecule_052,C,293.88,1,C_001
molecule_052,C,295.39,1,C_002
molecule_052,O,546.61,1,O_003
molecule_053,C,294.08,1,C_004
molecule_053,C,294.10,1,C_006
molecule_053,C,294.16,1,C_005
molecule_053,C,294.19,1,C_007
molecule_053,C,294.25,1,C_001
molecule_053,C,295.72,1,C_002
molecule_053,O,546.60,1,O_003
molecule_054,C,294.10,1,C_006
molecule_054,C,295.80,1,C_005
molecule_054,C,295.88,1,C_001
molecule_054,C,297.54,1,C_002
molecule_054,O,544.24,1,O_003
molecule_054,O,546.69,1,O_004
molecule_055,F,701.54,1,F_001
