System,Atom,Value,N_Atoms,Atom_indices
molecule_066,C,0.18,2,C_001;C_007
molecule_066,C,0.31,1,C_004
molecule_066,C,0.45,1,C_008
molecule_066,C,2.57,2,C_002;C_005
molecule_066,F,406.98,2,F_003;F_006
molecule_067,C,0.37,4,C_001;C_004;C_005;C_008
molecule_067,C,2.36,2,C_002;C_006
molecule_067,F,406.89,2,F_003;F_007
molecule_068,C,1.39,1,C_001
molecule_068,C,1.47,1,C_002
molecule_068,C,8.67,1,C_003
molecule_068,F,408.03,1,F_006
molecule_068,F,408.05,1,F_004
molecule_068,F,408.06,1,F_005
